Speaker,About,Sentence
Phoebe,Ross,"Y'know I had a dream where Ross and Rachel were still together, they never broke up. And we were all just like hanging out, and everyone was happy...."
Monica,Rachel,"Oh Rachel, I know the best coffee house and it"
Phoebe,Chandler,Chandler what are you doing?!
Monica,Chandler,Chandler!!
Phoebe,Ross,"Him? Him, Ross?"
Rachel,Chandler,Chandler! You
Phoebe,Rachel,"Well, we were um, sorta invited to go skiing, y'know Rachel"
Phoebe,Chandler,Chandler!!
Monica,Chandler,No Chandler no! No unscheduled stops. You can go when we stop for gas.
Phoebe,Monica,"Okay, Monica"
Joey,Phoebe,"Thank you Phoebe, that is very, very generous."
Monica,Chandler,Chandler!!
Carol,Ross,"Oh God, Ross I am so sorry."
Ross,Rachel,I guess it all started when Rachel got this new job. 
Monica,Ross,"Who? I mean have you seen a car come by here in the last hour and a half? I think we should call Ross, maybe he can get a car and come pick us up."
Rachel,Ross,"No! No, I am not getting in a car with Ross, we will just have to live here! "
Phoebe,Chandler,"Oh good, oh Joey and Chandler are back."
Phoebe,Joey,"Oh good, oh Joey and Chandler are back."
Phoebe,Ross,"Listen Ross, we ran out of gas, and we don"
Ross,Rachel,"No, Rachel doesn"
Joey,Ross,"Guys, do you think we should ask Ross to come along?"
Monica,Rachel,"I know, what about Rachel? I mean how are we even gonna ask her?"
Monica,Ross,"Umm, if ah, it might be okay if Ross came skiing?"
Rachel,Ross,Why would you even want to come Ross? You
Rachel,Ross,Y'know Ross why don
Monica,Joey,"What I said was, was that I understood. Joey"
Rachel,Joey,Really Joey?
Ross,Joey,Obviously not to Joey.
Chandler,Shelly,I was being Shelly Winters from 
Rachel,Ross,"Ross, I watched you get hypnotised in Atlantic City."
Rachel,Monica,"Monica, last Saturday night, what happened on "
Rachel,Monica,"Oh my God, Monica"
Frank,Rachel,"Okay, so what you used to have with Rachel, is what I"
Ross,Don,Don
Secretary,Monica,You have a Miss Monica Geller here.
Alice,Phoebe,Phoebe
Chandler,Joey,Wow!! Can Joey and I put them on and fight?
Kate,Kate Miller,"Hi, nice to meet you. Kate Miller. "
Kate,Jen,"Oh, yeah. I love Jennifer Van Murray"
Ross,Rachel,So Rachel called. Wants to see me. Going over in a minute.
Rachel,Ross,"No. Ross, it, it just seems that y'know it"
Rachel,Ross,"Ross, you got that for free from the museum gift shop."
Chandler,Ross,Ross! You gotta stop! Okay?! You can
Mark,Ross,"Ahh! Fair, schmair! Y'know? Look, if you want to get back at Ross, I am here for you. Really? No"
Spokeswoman,Peter,And the man who made all this possible... Mr. Peter Becker.
Joey,Chandler,"Hey, Chandler, can we please stay focused on my problem here?! Y'know?"
Monica,Ross,"By the way, Ross dropped by a box of your stuff."
Ross,Monica,"Monica, uh Dad called this morning and ah, Aunt Silvia passed away."
Ross,Silvia,"Monica, uh Dad called this morning and ah, Aunt Silvia passed away."
Ross,Silvia,"Well ah, Aunt Silvia was, well not a nice person."
Rachel,Sophie,"Hey, Sophie!"
Rachel,Chandler,"Thanks for lunch, Chandler. Y'know, you didn"
Joanna,Rachel,"Rachel, I need the "
Rachel,Chandler,"Bye, Chandler."
Joanna,Rachel,"Oh, Rachel, "
Joanna,Sophie,"Would you? Or, is it just to sad and desperate, and y'know something that Sophie would do?"
Phoebe,Monica,Oh! Ooh! Oh Monica! It
Rachel,Chandler,"Oh, sorry. I meant Chandler."
Rachel,Joanna,"Okay, my boss, Joanna, when you left, she started asking questions about you..."
Rachel,Chandler,"Oh thank you, Chandler, this is so great, she"
Monica,Phoebe,"Okay, Phoebe, y'know what? That"
Joanna,Chandler,Chandler is fantastic!!
Joanna,Don,Don
Joanna,Sophie,"Sophie, would you please climb out of my butt. Why hasn"
Joey,Lauren,"So I ah, talked to Lauren, kinda told her how things were with us. Did you ah, did you talk to Marshall?"
Joey,Marsha,"So I ah, talked to Lauren, kinda told her how things were with us. Did you ah, did you talk to Marshall?"
Kate,Lauren,"Hi, Lauren."
Joey,Lauren,"Hi, Lauren."
Ross,Phoebe,"No Phoebe, don"
Rachel,Sophie,Sophie
Rachel,Chandler,Chandler!!
Ross,Rachel,Rachel...
Phoebe,Monica,"Ohh, Monica, I am so excited for you."
Monica,Rachel,Okay. Does it have to do with Ross and Rachel?
Monica,Ross,Okay. Does it have to do with Ross and Rachel?
Monica,Joey,Does it have to do with Joey?
Rachel,Ross,"Oh wait, Ross, would you just stay and help me get dressed?"
Ross,Rachel,"Rachel, I"
Rachel,Ross,Ross! Stop that!
Rachel,Ross,Rosss...
Rachel,Ross,"Ross, why didn"
Rachel,Phoebe,"Oh, Phoebe, are you still on hold? I was supposed to call my Dad back like two hours ago."
Phoebe,Rachel,"No! Rachel, that"
Joey,Ross,"Two it is. Ross, how about you?"
Monica,Joey,"Joey, what are you doing?! It"
Monica,Phoebe,Phoebe?
Phoebe,Monica,"What?! Monica, I"
Rachel,Ross,"Oh! Tommy, this is Ross. Ross, Tommy."
Rachel,Tom,"Oh! Tommy, this is Ross. Ross, Tommy."
Rachel,Tommy,"Oh! Tommy, this is Ross. Ross, Tommy."
Joey,Lauren,"Oh, hey, Lauren. Uh, you guys this is, this is Kate"
Estelle,Joey,"Joey, sweetheart, you were fabulous! "
Ross,Tom,Hi! Yeah! Tommy
Ross,Tommy,Hi! Yeah! Tommy
Cailin,Ross,"Ross, I"
Cailin,Ross,Good bye Ross.
Kate,Joey,"You know what I mean. I mean like the sweetest guy. Joey, you"
Monica,Joey,"Joey, you had the night! "
Rachel,Tom,Tommy
Rachel,Tommy,Tommy
Chandler,Ross,"Ross, don"
Ross,Tom,"Whoa, sorry Tommy."
Ross,Tommy,"Whoa, sorry Tommy."
Rachel,Tom,"Tommyyyy! Say, what"
Rachel,Tommy,"Tommyyyy! Say, what"
Rachel,Ross,"Ross, would you just stop it! It"
Kate,Joey,Joey!
Monica,Phoebe,"Phoebe, it"
Ross,Phoebe,"Phoebe, 800 is toll free, 801 is"
Chandler,Ross,"No, it's... fancier than a pimple. Look Ross, why don't you just go see a"
Phoebe,Vince,"Yeah, and these are my friends. People. This is Vince, Vince the people."
Phoebe,Vince,Vince is a fireman.
Chandler,Joey,"Well, y'know if Joey and I played with matches we could get you up to an even hundred. "
Phoebe,Jason,"Oh, Jason? Yeah, uh"
Joey,Ross,"Oh! Maybe they'll name yours after you! Y'know, they'll call it, The Ross. And then people would be like, "
Chandler,Joey,"Well, if he's gonna break up with you, maybe Joey and I should water his plants. If y'know what I mean."
Phoebe,Vince,"Well, Vince is great, y'know "
Joey,Vince,"Okay, good, so there you go. Go with Vince."
Phoebe,Jason,"Yeah, but Jason's really sensitive."
Phoebe,Jason,Jason is not a sissy!
Monica,Joey,"Joey, put that down! "
Pete,Monica,Monica? 
Pete,Monica,"Hey Monica, how's it going."
Pete,Rachel,Well don't forget that fiches over there by Rachel.
Rachel,Monica,Monica's gonna marry a millionaire!!!
Ross,Monica,Monica
Phoebe,Vince,All right. I gotta go. I have break up with Vince.
Phoebe,Vince,"Yeah, I like Vince a lot, y'know? But, it"
Phoebe,Vince,"Excuse me. Umm, is Vince here?"
Fireman,Vince,Oh sure. Vince?!
Monica,Jason,"So then, are you going to dump Jason?"
Jason,Phoebe,"So Phoebe, you ah, sounded kinda serious on the phone, is ah, is anything wrong?"
Pete,Monica,"Monica, I want to become "
Pete,Monica,"Yeah. Monica, I want you there in the front row when I win. I want you close enough to smell the blood. What do you think?"
Vince,Phoebe,"Phoebe, Phoebe relax, it"
Jason,Phoebe,"Y'know Phoebe, I"
Robin,Tim,"What is it, Tim?"
Phoebe,Monica,"So Monica, what were you gonna tell us?"
Rachel,Monica,"So, come on, what was the big news Pete wanted to tell you Mon?! Or should I say Mrs. Monica Becker?"
Ross,Chandler,"All right so, Chandler, from now on, don"
Phoebe,Ross,"Okay, you can totally say no, but umm, would it be okay with you if I set Ross up on a date?"
Phoebe,Bonnie,"Umm, my friend, Bonnie. She just always thought Ross was really cute, and now that you two aren"
Phoebe,Ross,"Umm, my friend, Bonnie. She just always thought Ross was really cute, and now that you two aren"
Pete,Monica,Monica! 
Rachel,Bonnie,This is Bonnie? 
Phoebe,Bonnie,"Oh no, Bonnie"
Monica,Ross,"God Ross, what is that?"
Pete,Don,Don
Phoebe,Bonnie,"So Ross, how umm, how did it go with Bonnie?"
Phoebe,Ross,"So Ross, how umm, how did it go with Bonnie?"
Chandler,Doug,"Excuse me, Doug? "
Chandler,Doug,Doug!!
Rachel,Phoebe,Phoebe! 
Rachel,Phoebe,"Come on Phoebe, look at that! They are not breaking up, look at them. Okay that"
Rachel,Phoebe,"Phoebe, we can"
Doug,Don,"Everybody else got one, and you want one too. Don"
Monica,Joey,"Joey, she was listing the countries she"
Phoebe,Tom,So great! Okay! Tomorrow we
Joey,Bonnie,"Hey, Bonnie had sex there!"
Rachel,Ross,Ross gave it to me.
Phoebe,Bob,"Oh, yeah, Bob said there might be flood damage."
Rachel,Ross,"Take it like a man, Ross!"
Monica,Phoebe,"Ah no, the other Phoebe, the one you went to go see."
Phoebe,Monica,"Monica, if you get five cool points, you get to make somebody take off one item of clothing. It hasn"
Rachel,Monica,"Monica, please?"
Phoebe,Joey,Shhh! Shhhh! Joey
Bonnie,Chandler,"Yeah, Joey and Chandler sure are funny. "
Bonnie,Joey,"Yeah, Joey and Chandler sure are funny. "
Bonnie,Rachel,"Yeah, thank you Rachel, you are soo cool."
Ross,Bonnie,"I was having a little chat with ah, Bonnie, and ah, guess what, she"
Rachel,Ross,"All right! Ross, do you think it"
Joey,Bonnie,"So let me get this straight. If you go with Bonnie tonight, you"
Joey,Bonnie,"Right, and you go with Rachel, Bonnie"
Joey,Rachel,"Right, and you go with Rachel, Bonnie"
Joey,Chandler,"Y'know what, hold on, let me go get Chandler. "
Bonnie,Rachel,Rachel was just helping me out. My head got all sunburned.
Joey,Don,"Whoa, wait, Pheebs, wait a second! Don"
Ross,Don,Done!
Rachel,Ross,"What are you talking about, Ross, you just said that you read it twice! Look, y'know what, either it does or it doesn"
Joey,Don,Don
Chandler,Ross,"Look, Ross, you have what you want, you"
Ross,Joey,What happened? Joey?
Chandler,Joey,And then Joey remembered something.
Rachel,Ross,"You have! Ross, you should give yourself credit. I mean my Mom "
Monica,Chip Matthews,"Chip, is Chip Matthews."
Ross,Rachel,The guy who took Rachel to the prom? Why is he calling you?
Ross,Monica,"Monica, you"
Monica,Chip Matthews,Now? Is it okay if I go out with Chip Matthews?
Rachel,Monica,Monica! I couldn
Monica,Chip Matthews,"Back then, I thought that I would never, ever get the chance to go out with a Chip Matthews, and now he"
Chandler,Joey,"Yes, Joey has a very careful screening process. Apparently, not everyone is qualified to own wood and nails."
Ross,Phoebe,"So, guys, am I crazy, or does Phoebe"
Monica,Ross,"Ross, don"
Chip,Monica,"So ah, Monica ready yet?"
Joey,Stu,"This is the unit for you my friend. Sturdy construction, tons of storage compartments, some big enough to fit a grown man."
Chandler,Joey,"Oh, umm, Joey was born, and then 28 years later, I was robbed!!"
Monica,Chip Matthews,"Well, y'know how I always wanted to go out with Chip Matthews in high school?"
Monica,Chip Matthews,"Well, tonight, I actually went out with Chip Matthews in high school."
Rachel,Chandler,Oh! Good thing Chandler
Monica,Rachel,Rachel!
Rachel,Mr. Treeger,"Oh! Hey, Mr. Treeger."
Monica,Joey,"Joey, please don"
Ross,Maria,Who is Maria?
Chandler,Maria,Oh Maria. You can
Joey,Rachel,"Hey! You hold on pal! Now you made my friend, Rachel, cry. So now, you"
Joey,Rachel,Well he made Rachel cry!
Monica,Rachel,Rachel always cries!
Monica,Joey,"Now Joey, you go down there and you suck up to him. I mean you suck like you"
Chandler,Joey,"Thank you, Joey."
Rachel,Joey,"Ooh, this is soo sweet, Joey our little twinkle"
Phoebe,Rick,"Hey! So I had a great day, Rick and I really hit it off, and we started making out, and then my boss walked in and fired me for being a whore."
Gunther,Rachel,Rachel?
Rachel,Ross,"Ross, you guys went out once. You took your kids to "
Monica,Phoebe,"Phoebe! You're sick, you shouldn't play. You should just go home, get in bed, and stay there."
Chandler,Kathy,"Uh Kathy, with K or a C?"
Chandler,Joey,"So ah, Joey tells me you two met in acting class."
Kathy,Joey,"Yeah, they teamed us up as partners. Joey picked three scenes for us to do"
All,Phoebe,"Way to go, Phoebe!"
Monica,Kathy,"Y'know what, I like Kathy."
Phoebe,Chandler,"Yes, you do. Chandler loves Kathy."
Phoebe,Kathy,"Yes, you do. Chandler loves Kathy."
Chandler,Ross,"Thank you, Ross."
Monica,Rachel,Rachel's not here.
Monica,Josh,"Hi, Josh."
Rachel,Ross,"Ross, didn't you ah, play soccer in High School? Oh no wait, that's right. You just organized their game schedules on your Commodore 64."
Ross,Monica,Monica knows.
Monica,Ross,It's this dumb thing that Ross made up 
Chandler,Kathy,Kathy! Kathy! Hi!! Kathy! Kathy! 
Kathy,Chandler,"Hey, Chandler! What are you doing here?"
Monica,Phoebe,"Phoebe, you'll catch pneumonia."
Joey,Kathy,Yeah! You don't like Kathy.
Monica,Phoebe,Thank you so much Phoebe.
Monica,Phoebe,"Sorry, Phoebe."
Joey,Kathy,Kathy was being really nice and you just walked away. I thought we had a deal.
Monica,Ross,"Ross, cough drops, please?"
Phoebe,Gunther,"Gunther, kiss me."
Gunther,Rachel,Rachel?
Gunther,Phoebe,I don't know if you heard about what happened between me and Phoebe the other day_
Joey,Kathy,"No, things are fine with Kathy. I"
Chandler,Joey,"Look, Joey, Kathy is clearly not fulfilling your emotional needs. But Casey, I mean granted I only saw the back of her head, but I got this sense that she"
Chandler,Kathy,"Look, Joey, Kathy is clearly not fulfilling your emotional needs. But Casey, I mean granted I only saw the back of her head, but I got this sense that she"
Kathy,Joey,So is Joey around?
Joey,Kathy,"We broke down on the Parkway, so I have to walk back and get some transmission fluid. And hey, listen could you please tell Kathy that I"
Chandler,Joey,Joey! Joey!!
Kathy,Joey,"Yes! Yeah! Joey has great hair! Umm, I"
Joey,Kathy,"Listen uh, could you put Kathy on, I wanna apologize."
Kathy,Chandler,"Chandler, I like Joey a lot, but with you"
Kathy,Joey,"Chandler, I like Joey a lot, but with you"
Monica,Phoebe,"Phoebe, Ross sucks! "
Monica,Ross,"Phoebe, Ross sucks! "
Rachel,Phoebe,"Phoebe, the place has emptied because of him."
Monica,Phoebe,"Okay. Umm, Phoebe, you suck too."
Rachel,Phoebe,"Yeah, Phoebe you"
Joey,Kathy,"No. No, Kathy."
Ross,Monica,"Oh, thanks, thanks. So Monica tells me that uh, you don"
Ross,Chandler,Hey Chandler! Saw the new furniture. Very nice.
Monica,Joey,Yeah! Joey has the best boyfriend ever!
Chandler,Kathy,I kissed Kathy.
Phoebe,Joey,Does Joey know?
Rachel,Chandler,"Well, Chandler, you"
Chandler,Kathy,"Yeah, I mean when you were late last night, Kathy and I got to talking, and one thing to another and"
Rachel,Phoebe,"Phoebe, his music could not "
Rachel,Joey,So are things with you and Joey any better?
Phoebe,Monica,"Speaking of Christmas, umm since Monica and I are starting a new business and have like no money, umm, this year maybe we could do secret Santa, and then we each only buy one gift. And"
Chandler,Rachel,"Hey, by any chance did either of pick uh Rachel for your secret Santa, "
Monica,Ross,"Well, maybe you could give to somebody else. Ooh, like Ross Geller."
Chandler,Monica,"Monica got ice in her eye, and it hurts."
Ross,Monica,"So listen ah, I picked Monica for secret Santa, but I"
Ross,Phoebe,"Yeah, well maybe Phoebe will switch with me."
Ross,Joey,"Listen, Joey, I know what he did was wrong but don"
Joey,Chandler,"Back when you and Rachel were together, if Chandler had kissed her, would you hear him out?"
Joey,Rachel,"Back when you and Rachel were together, if Chandler had kissed her, would you hear him out?"
Joey,Don,Hey! Don
Ross,Joey,"Joey, the guy"
Nurse,Richard Burke,"Dr. Richard Burke is out of town. Dr. Timothy Burke, his son, will see you now."
Nurse,Tim,"Dr. Richard Burke is out of town. Dr. Timothy Burke, his son, will see you now."
Nurse,Timothy Burke,"Dr. Richard Burke is out of town. Dr. Timothy Burke, his son, will see you now."
Monica,Phoebe,"Hey, come on, Phoebe, you understand don"
Joey,Chandler,Chandler?
Monica,Phoebe,"Thank you. Come meet my friends. This is uh, Phoebe. "
Monica,Joey,And Joey.
Tim,Joey,"Hi, Joey."
Monica,Ross,"My brother, Ross."
Monica,Rachel,And Rachel. 
Phoebe,Monica,"Yeah, but Monica, do you actually want to be in a relationship where you can actually use the phrase, "
Rachel,Ross,"Ross, can you pass me the yams?"
Ross,Joey,"Sure! Oh, and Joey"
Rachel,Don,Don
Rachel,Joey,"Joey, had reasons. "
Joey,Chandler,"All right, who got Chandler? "
Phoebe,Larry,"Oh sure, Cilantro Larry."
Chandler,Kathy,Kathy
Ross,Joey,"Joey, you are gonna love this guy. Gandolf is like the party wizard!"
Rachel,Joanna,"Oh, uh, Joanna I was wondering if I could ask you something. There"
Chandler,Stu,"Stupid, useless Canadian money!"
Rachel,Joanna,"Yes, Joanna really has been an incredible mentor to me."
Joanna,Rachel,Oh. And Rachel has been really incredible in getting my morning bagel for me. It
Monica,Phoebe,No! Phoebe!
Phoebe,Monica,"Hey, Monica!"
Joanna,Rachel,"Rachel, please, don"
Joanna,Sophie,"Sophie, get in here! "
Joanna,Don,Done!
Joanna,Sophie,"Sophie, get in here! "
Monica,Allesandro,"Okay, the owner of Allesandro"
Monica,Phoebe,"Ohh! Umm, Phoebe, I kinda need to talk to you about that. "
Monica,Allesandro,I got offered the head chef job at Allesandro
Monica,Phoebe,"Phoebe, wait a minute! "
Phoebe,Monica,Monica! 
Rachel,Joanna,"Oh, hi Mrs. Lynch! Is Joanna in already?"
Rachel,Sophie,"Oh, Sophie, I guess you didn"
Phoebe,Joey,Joey stuffing 15 
Joey,Don,"Done! I did it! Heh, who"
Chandler,Kathy,"All right, who keeps leaving old newspapers in the trash?! I really wanted to take Kathy to this, I can"
Chandler,Ross,Oh and Ross was like what? A lion tamer?
Mike,Chandler,"Hey, Chandler, why don"
Joey,Rachel,What are you talking about? Lots of things rhyme with Rachel. Bagel. Mail. Jail. Bail. Able. May
Rachel,Chandler,Chandler!
Monica,Joey,"Hey, Joey, could you pass the cheese?"
Monica,Joey,"Joey, we had a deal. That"
Phoebe,Ross,So! Ross doesn
Chandler,Phoebe,"Oh yeah, then uh, what was Phoebe"
Rachel,Chandler,"Chandler! Patrick just uh, ended things with me. Did you or did you not tell him that I was looking for a serious relationship?"
Rachel,Chandler,"What?! Chandler, what is the matter with you?!"
Joey,Ross,"Oh, ah, tour guide at the museum. Yeah, Ross got it for me."
Ross,Joey,"Uh actually Joey, it"
Rachel,Chandler,"Oh, Chandler that is so nice."
Chandler,Kathy,"Well, Kathy"
Monica,Joey,"So big deal, so Joey"
Ross,Chandler,Just go for it Chandler.
Joey,Ross,"Look, Ross, really it"
Chandler,Phoebe,Why is Phoebe singing to Carl Mulden?
Ross,Rhonda,"Wow, Rhonda."
Joey,Ross,"Oh yeah? Ross, how many items left in that bag?"
Monica,Ross,Ross will do it.
Monica,Phoebe,"You guys! Do you realize that any minute now, Phoebe can be pregnant?"
Ross,Monica,What is Monica
Ross,Chandler,"According to Chandler, what phenomenon scares the bejeezus out of him?"
Monica,Dan,"Michael Flatley, Lord of the Dance!"
Monica,Michael,"Michael Flatley, Lord of the Dance!"
Ross,Monica,"Monica and I have a grandmother who died, you both went to her funeral, name that grandmother!"
Chandler,Althea,Althea?! What are you doing?! 
Chandler,Althea,You're shooting with Althea?!
Ross,Althea,Althea is correct.
Ross,Chandler,"Every week, the TV Guide comes to Chandler and Joey"
Ross,Joey,"Every week, the TV Guide comes to Chandler and Joey"
Rachel,Chandler,Chandler gets it! It
Monica,Rachel,I knew that! Rachel! Use you
Ross,Chandler,Ooh. What is the name of Chandler
Rachel,Monica,"Monica, I don"
Rachel,Monica,Monica?!
Rachel,Monica,"Monica, betting the apartment, I don"
Monica,Rachel,"Rachel, I have not missed one question the whole game. I own this game! Look at my hand. "
Ross,Rachel,Correct. Rachel claims 
Ross,Monica,Correct. In what part of her body did Monica get a pencil stuck at age 14?
Ross,Monica,"Eww! No!! Her ear! All right, Monica categorizes her towels. How many categories are there?"
Ross,Chandler,Correct. Chandler was how old when he first touched a girl
Ross,Joey,"Joey, had an imaginary childhood friend. His name was?"
Ross,Chandler,Correct! What is Chandler Bing
Joey,Monica,I call Monica
Alice,Phoebe,"Hi, Phoebe! We were just at the drugstore and we got you a little present."
Ross,Don,Don
Phoebe,Kathy,Ooh! How was Kathy
Ross,Kathy,"Well, Kathy gets half"
Joey,Chandler,"Chandler, look they"
Joey,Tom,Tom Cruise and Nicole Kidman. 
Ross,Don,Here she comes. Don
Kathy,Chandler,"Acting! Chandler, this is my job! I"
Phoebe,Rachel,Rachel has a new doll.
Rachel,Josh,"Oh, I wish he was a doll, then I could get a Rachel doll and bump them together and make kissy noises. Oh! And he has the most beautiful name, I never realised it, Joshua! Josh"
Ross,Cookie,"Cookies and porn, you"
Rachel,Josh,"Well, it was just something Josh said about v"
Ross,Jason,"Yeah, how does Jason look in a v"
Ross,Chandler,Chandler!
Rachel,Chandler,"Chandler, what did she say?"
Rachel,Josh,"So I was with Joshua for an hour today, and he has not asked me out. It"
Chandler,Ross,"She did not have to tell me, I saw the play, and there was no heat. Back me up here, Ross!"
Rachel,Monica,Wow! Monica!
Monica,Joey,"Hey, Joey, I don"
Rachel,Monica,"Hey, Monica!"
Rachel,Phoebe,Phoebe?
Monica,Chandler,"No, Chandler"
Phoebe,Don,Don
Monica,Joey,"Oh wait, Joey, you can"
Monica,Josh,So? How did it go with Joshua last night?
Monica,Chandler,What are you doing?! Chandler! You can
Joey,Charlton Heston,"Look at that, Charlton Heston eating a liquorice whip!"
Phoebe,Josh,"Who, Josh?"
Monica,Chandler,Come on! Chandler!
Rachel,Josh,Joshua.
Ross,Josh,Joshua
Rachel,Chandler,"Chandler, there"
Rachel,Chandler,"Chandler, don"
Monica,Joey,Joey let me ask you a question. 
Chandler,Don,Don
Emily,Ross,"No, no, no Ross! Ross, these are friends of mine from home. "
Emily,Liam,"Oh, Liam. "
Ross,Liam,"Oh, Liam. So uh, what, were you guys playing soccer or something"
Janice,Chandler,"Ugh, well I will just have to soak up every once of Chandler Bing until that moment comes."
Monica,Don,Done?
Janice,Chandler,"Okay, Chandler, come on!"
Rachel,Ross,"Please, Ross, you"
Joey,Ross,Ross! 
Joey,Ross,"All right, come on look, Ross can take care of himself! It"
Joey,Ross,Ross
Emily,Liam,"Liam, do me a favour. Tell the lads to go easy on Ross, it"
Emily,Ross,"Liam, do me a favour. Tell the lads to go easy on Ross, it"
Liam,Ross,Ross! Ross! Come on! Get in here! 
Liam,Ross,"Ross, come on! Get in the bloody scrum! Ross, get in!"
Emily,Ross,"Ross, they are killing you out there!"
Emily,Devon,"Yeah? Listen closely, Devon has got a weak ankle. "
Emily,David,"And that big bloke with the beard, he has got a trick hip. Yeah. And uh, and David over there, I heard he doesn"
Emily,Liam,"And uh, Liam, Liam"
Joey,Ross,The Red Ross! Okay.
Janice,Chandler,Chandler?
Janice,Chandler,Chandler! 
Monica,Joey,"I guess Joey was right, it does nothing."
Rachel,Josh,"Well, Joshua"
Chandler,Ross,"Yes, but in Ross"
Rachel,Ross,"Well, it was all Ross"
Chandler,Josh,Why are you in here if Joshua is all the way over there? 
Emily,Ross,"But Ross, I"
Ross,Monica,Monica said that did she? 
Joey,Phoebe,"Phoebe, what"
Phoebe,Joey,"Joey, I can"
Monica,Rachel,Rachel
Gunther,Rachel,Rachel is my girlfriend.
Rachel,Josh,"Ohh, here you are. I was looking for you before. Joshua"
Rachel,Ross,"Oh, Ross, I"
Rachel,Monica,"Ross, that girl just spent the entire evening talking to your friends, asking to hear stories about you, looking through Monica"
Rachel,Ross,"Ross, that girl just spent the entire evening talking to your friends, asking to hear stories about you, looking through Monica"
Rachel,Josh,"Oh my gosh, Joshua!"
Chandler,Joey,"Yeah, Joey just pressed something on the remote and it just, came on!"
Monica,Phoebe,"Phoebe, they didn"
Emily,Ross,Ross.
Emily,Ross,"Ross umm, there"
Monica,Rachel,"When Rachel was with Paulo, what did you do?"
Monica,Don,Come on! Surprise her! Show up at her doorstep! Don
Joey,Ross,Ross! Ross! If you
Monica,Ross,"Oh my God! Ross, are you in England? Was Emily surprised?"
Emily,Ross,"Ross, are you there? Ross, I don"
Emily,Ross,"Ross, I love you!"
Alice,Don,Don
Phoebe,Chandler,"Well, I, I like the idea of naming him after someone I love, and Joey and Chandler are great names. "
Phoebe,Joey,"Well, I, I like the idea of naming him after someone I love, and Joey and Chandler are great names. "
Rachel,Josh,"Hey, Mon, if you were hoping to sleep with Joshua the first time tonight, which one of these would you want to be wearing. "
Chandler,Joey,"Okay, look, Joey! Come on, think about it, first of all, he"
Joshua,Rachel,"Uhh, Rachel, my parents"
Chandler,Tom,"All right look, am I serious, okay? Tomorrow at 3"
Phoebe,Chandler,"You got problems because of you! Not your name! All right, this has got to stop! Chandler is a great name! In fact"
Rachel,Monica,"Monica, you don"
Ross,David,"Huh? I know, I know. Who am I? David Bowe? "
Emily,Ross,"Ohh, Ross, please!"
Emily,Don,Don
Ross,Don,Oh no. Don
Chandler,Joey,"No. But uh, Joey has, and I usually talk to them in the morning time."
Joey,Ross,"All right look, Ross, he"
Joey,Don,Done!
Rachel,Phoebe,"Oh, okay, well, I think we should let Phoebe decide, because she"
Phoebe,Joey,"All right, Joey, same question."
Ross,Don,Don
Monica,Rachel,"As a thank you, Rachel and I will kiss for one minute."
Joey,Ross,Ross has some big thing to tell everyone.
Joey,Monica,Monica and Rachel made out. 
Joey,Rachel,Monica and Rachel made out. 
Chandler,Joey,Are you kidding me?! Joey. Joey! Joey! Joey! Joey! Joey! Joey! Joey! Joey! Joey!!
Chandler,Gunther,"Gunther, can I get another cup of coffee, please? "
Monica,Chandler,"Chandler, that"
Monica,Emily Waltham,Emily Waltham.
Monica,Phoebe,Phoebe?
Chandler,Josh,"Hey, I hear that you and Joshua are going out to dinner with Ross and Emily, and I think that"
Chandler,Ross,"Hey, I hear that you and Joshua are going out to dinner with Ross and Emily, and I think that"
Joshua,Rachel,"Wow! Uhh, Rachel uhh, you"
Monica,Joey,"So, is Joey gonna stop snoring?"
Rachel,Josh,Three people. Joshua
Ross,Rachel,"Oh, Rachel, I"
Rachel,Josh,"Oh, wait, Joshua! Joshua! "
Chandler,Phoebe,"Phoebe is, making people."
Emily,Earl,Earl Grey?
Monica,Rachel,Rachel?!
Rachel,Monica,"Oh God Monica hi! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!"
Monica,Rachel,"Okay, everybody, this is Rachel, another Lincoln High survivor. "
Ross,Monica,You did! Oh.... I always figured you just thought I was Monica's geeky older brother.
Rachel,Ross,"Oh Ross, you're so great. "
Ross,Julie,I was doing great with Julie before I found out about you.
Rachel,Julie,"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?"
Rachel,Ross,"Alright, fine, you go ahead and you do that, alright Ross."
Rachel,Ross,Ross do you realise this is the first time in my life I
Rachel,Ross,"Oh my God. I cannot keep having this same fight over and over again, Ross, no, you"
Joey,Don,Don
Rachel,Ross,"Come on Ross! You said you wanted to talk about it, let"
Rachel,Monica,"Ross, that girl just spent the entire evening talking to your friends, asking to hear stories about you, looking through Monica"
Rachel,Ross,"Ross, that girl just spent the entire evening talking to your friends, asking to hear stories about you, looking through Monica"
Phoebe,Ross,"Hey! Hey, did you get your invitation to Ross"
Joey,Don,Don
Chandler,Ross,"Oh, that's Ross's. "
Chandler,Ross,"Come on, Ross? Remember back in college, when he fell in love with Carol and bought her that ridiculously expensive crystal duck?"
Rachel,Julie,"Julie! Julie, isn't that great? I mean, isn't that just kick"
Rachel,Ross,"Oh my God. Oh my God Ross, no, hang up the phone, give me the phone Ross, give me the phone, give me the phone, give me the. . . "
Joey,Julie,"He broke up with Julie. Well, go hug her, for god's sakes."
